source,title,company,location,salary_information,deadline,url,skills,technologies,qualifications,responsibilities,raw_text
khmer24,Apply Tax,FLW CAR AND MOTOR TRADING,"Chbar Ampov, Phnom Penh",$400+,,https://www.khmer24.com/en/apply-tax-adid-13610340,,,,,"Apply Tax FLW CAR AND MOTOR TRADING Chbar Ampov, Phnom Penh $400+ ត្រូវការជ្រើសរើសបុគ្គលិកបន្ទាន់ ផ្នែកពន្ធដារ រៀបឯកសារបង់ពន្ធ ភេទ/ស្រី~ប្រុស ម៉ោងការងារ: 8.30ព្រឹក-5.30ល្ងាច ទីតាំង: ច្បារអំពៅ ការសម្ភាសន៍នឹងផ្តល់ជូននូវពត៌មានលម្អិត.រួសរាន់ឡើង ត្រូវការបទពិសោធ៍ យ៉ាងតិច4ឆ្នាំឡើង ស្ទាត់ជំនាញ"
khmer24,AP assistant (Stock account assistant),Fa De Manufacture,"Dangkao, Phnom Penh",$350+,,https://www.khmer24.com/en/ap-assistant-stock-account-assistant-adid-13642350,,,,,"AP assistant (Stock account assistant) Fa De Manufacture Dangkao, Phnom Penh $350+ Position: Stock account assistant Salary Rank: $250-$350 ✅តួនាទី និងទំនួលខុសត្រូវ 1. បញ្ចូលស្តុកផលិតធុងប្រចាំថ្ងៃក្នុងប្រព័ន្ធ និងផ្ទៀងផ្ទាត់មើលស្តុកដែលអវិជ្ជមាន ស្វែងរកមូលហេតុ និងកែតម្រូវបានត្រឹមត្រូវ 2. ផ្ទៀងផ្ទាត់របាយការណ៍ផ្នែកផលិតជាមួយប្រព័ន្ធ មានការកាត់ស្តុកម្សៅ កញ្ចប់ គំរប ជាដើមអោយបានត្រឹមត្រូវជាប្រចាំថ្ងៃ 3. ចូលរួមរាប់ស្តុកប្រចាំខែ ជាមួយអ្នកកាន់ស្តុក ហើយផ្ទៀងផ្ទាត់ជាមួយប្រព័ន្ធ និងធ្វើការកត់ត្រាកែតម្រូវអោយបានត្រឹមត្រូវជាមួយក្នុងប្រព័ន្ធ 4. កត់បង្វិលទំនិញចូលវិញក្នុងប្រព័ន្ធ ហើយផ្ទៀងផ្ទាត់គ្រុប លុបបុង និង គ្រុប ធុងវិលចូលវិញអោយបានត្រឹមត្រូវ 5. កត់ត្រាវត្ថុធាតុដើមនាំចូល (Prepayment, Purchase order, Receive items) Requirement-តម្រូវការ - មានបរិញ្ញាបត្រជំនាញគណនេយ្យ - មានបទពិសោធន៍ចាប់ពី1ឆ្នាំឡើងទៅ - មានចំណេះដឹងជំនាញពីមូលដ្ឋានគ្រឹះគណនេយ្យ - មានចំណេះដឹងពីការប្រើប្រាស់កុំព្យូរទ័រ QuickBooks ,Google drive, Microsoft office -មានចំណេះដឹងភាសាអង់គ្លេសអាចប្រើប្រាស់បានជាមួយការងារប្រចាំថ្ងៃ។ ☎️ ទូរស័ព្ទ/តេលេក្រាម៖Cellcard / 📬 អាសយដ្ឋាន៖ សង្កាត់ព្រៃវែង ខណ្ឌដង្កោ រាជធានីភ្នំពេញ(ម្ដុំព្រៃស)"
khmer24,Accounting Manager,TY Vutha,"Saensokh, Phnom Penh","$1,000+",,https://www.khmer24.com/en/accounting-manager-adid-13693473,,,,,"Accounting Manager TY Vutha Saensokh, Phnom Penh $1,000+ 💁💬 ដំណឹងជ្រើសរើសបុគ្គលិក 📣 En-Lac Cambodia កំពុងត្រូវការជ្រើសរើសបុគ្គលិក👇 ផ្នែក (Accounting Manager) ចំនួន👉 1នាក់ 👥បេក្ខជន ដែលមានចំណាប់អារម្មណ៍ដាក់ពាក្យ សូមផ្ញើ CV មកកាន់👇 📲 តេឡេក្រាម :"
khmer24,Senior Quantity Surveyor (Costing & Contracts),Royal Hong Lai Huat One Company Limited,"Tuol Kouk, Phnom Penh","$1,000+",,https://www.khmer24.com/en/senior-quantity-surveyor-costing-contracts-adid-13598603,analytical; communication; negotiation,,"5 years of experience in quantity surveying, contract management, or construction cost control; Bachelor’s Degree in Quantity Surveying, Construction Management, Civil Engineering, or related field; Degree in Quantity Surveying, Construction Management, Civil Engineering, or related field","Major Responsibility Areas (Describe the major responsibilities of the position); Prepare project cost estimates, BOQ (Bill of Quantities), and project budgeting; Analyze drawings, specifications, and project requirements for accurate costing; Monitor project expenses and provide cost control recommendations; Prepare cost comparison and feasibility analysis; Prepare tender documents, tender analysis, and evaluation reports; Coordinate tender submissions and negotiations with suppliers and subcontractors; Prepare, review, and manage contracts with subcontractors and suppliers; Monitor contract compliance and project progress against contractual terms; Prepare monthly cost reports, project financial summaries, and forecasting reports; Maintain proper documentation and records for all project costing and contractual matters; Support management in commercial discussions, procurement processes, and contract negotiations","Senior Quantity Surveyor (Costing & Contracts) Royal Hong Lai Huat One Company Limited Tuol Kouk, Phnom Penh $1,000+ Major Responsibility Areas (Describe the major responsibilities of the position) • • Prepare project cost estimates, BOQ (Bill of Quantities), and project budgeting. • Analyze drawings, specifications, and project requirements for accurate costing. • Monitor project expenses and provide cost control recommendations. • Prepare cost comparison and feasibility analysis. • Prepare tender documents, tender analysis, and evaluation reports. • Coordinate tender submissions and negotiations with suppliers and subcontractors. • Review quotations and recommend suitable vendors/subcontractors. • Prepare, review, and manage contracts with subcontractors and suppliers. • Handle contractual matters including variation orders, claims, and disputes. • Monitor contract compliance and project progress against contractual terms. • Work closely with project managers, consultants, engineers, contractors, and relevant stakeholders. • Attend project meetings and provide commercial and contractual advice. • Prepare monthly cost reports, project financial summaries, and forecasting reports. • Maintain proper documentation and records for all project costing and contractual matters. • Support management in commercial discussions, procurement processes, and contract negotiations. • Ensure all work is carried out in compliance with company policies and project requirements. Qualifications, skills, Experience Requirements, and Personal Character • Bachelor’s Degree in Quantity Surveying, Construction Management, Civil Engineering, or related field. • Minimum 3-5 years of experience in quantity surveying, contract management, or construction cost control. • Experience working with reputable QS consultancy firms such as HIQS is highly preferred. • Strong knowledge of construction contracts, tendering procedures, project costing, and commercial management. • Good negotiation, analytical, and problem-solving skills. • Proficient in Microsoft Office, AutoCAD, and QS-related software. • Strong communication and coordination skills. • Ability to work independently and handle multiple projects. Address : Royal Group Platinum Condominium, 28th Floor, Unit No. 28-21, St. 337 Phum 6, Sangkat Boeung Kak 1, Khan Toul Kouk, Phnom Penh, Cambodia , Website : www.honglaihuatgroup.com"
khmer24,Accounting Assistant ជំនួយការគណនេយ្យ,Job ដំណឹងជ្រើសរើសបុគ្គលិក,"Dangkao, Phnom Penh",$500+,,https://www.khmer24.com/en/accounting-assistant-adid-13717021,,,,,"Accounting Assistant ជំនួយការគណនេយ្យ Job ដំណឹងជ្រើសរើសបុគ្គលិក Dangkao, Phnom Penh $500+ រោងចក្រកាត់ដេរសម្លៀកបំពាក់ ត្រូវការជ្រើសរើសបុគ្គលិកតាមមុខតំណែងដូចខាងក្រោមៈ -ជំនួយការគណនេយ្យ Accounting Assistant x 1នាក់ -ទូរសព្ទៈ -តេលេក្រាមៈ -ផ្លូវជាតិលេខ3 សង្កាត់ពងទឹក ខណ្ឌដង្កោ ភ្នំពេញ។"
khmer24,ផ្នែក គណនេយ្យស្តុក (Stock Account),VEASNA POENG,"Mean Chey, Phnom Penh",$250+,,https://www.khmer24.com/en/stock-account-adid-13688392,,,,,"ផ្នែក គណនេយ្យស្តុក (Stock Account) VEASNA POENG Mean Chey, Phnom Penh $250+ ទំនួលខុសត្រូវសំខាន់ៗ៖ -កត់ត្រា និងផ្ទៀងផ្ទាត់ប្រតិបត្តិការស្តុកឱ្យបានត្រឹមត្រូវនៅក្នុងប្រព័ន្ធ។ -តាមដានចលនាស្តុក រួមទាំងបង្កាន់ដៃ ការចេញ ការផ្ទេរ និងការកែតម្រូវ។ -ធានាថាកំណត់ត្រាស្តុកត្រូវបានធ្វើបច្ចុប្បន្នភាព និងត្រឹមត្រូវ។ -អនុវត្តការផ្សះផ្សាជាប្រចាំរវាងស្តុករូបវន្ត និងកំណត់ត្រាប្រព័ន្ធ។ -ត្រួតពិនិត្យភាពខុសគ្នានៃស្តុក និងរៀបចំរបាយការណ៍ភាពខុសគ្នា។ -សម្របសម្រួលជាមួយនាយកដ្ឋានឃ្លាំង និងផលិតកម្ម ដើម្បីដោះស្រាយបញ្ហាស្តុក។ -តាមដានស្តុកចាស់ និងស្តុកដែលមានចលនាយឺត។ -គាំទ្រសកម្មភាពបិទបញ្ចប់នៅចុងខែ និងចុងឆ្នាំ។ -ធានាថាប្រតិបត្តិការស្តុកទាំងអស់ត្រូវបានគាំទ្រដោយឯកសារត្រឹមត្រូវ។ -រក្សាការដាក់ឯកសារស្តុកឱ្យបានត្រឹមត្រូវ។ -គាំទ្រការធ្វើសវនកម្មផ្ទៃក្នុង និងខាងក្រៅទាក់ទងនឹងស្តុក។ ជំនាញ និងសមត្ថភាព៖ * ការផ្សះផ្សាសារពើភ័ណ្ឌ * ការយកចិត្តទុកដាក់លើព័ត៌មានលម្អិត * ជំនាញវិភាគ * ភាពត្រឹមត្រូវនៃទិន្នន័យ * ជំនាញទំនាក់ទំនង * ការគ្រប់គ្រងពេលវេលា * ការដោះស្រាយបញ្ហា សូមទំនាក់ទំនងលេខ៖"
khmer24,Senior Accountant (Tax is preferred),Hor Laihol,"Prampir Meakkakra, Phnom Penh",$500+,,https://www.khmer24.com/en/senior-accountant-tax-is-preferred-adid-13712239,analytical; english,excel; sql,"4 years of accounting & tax experience • Strong analytical and knowledge of cambodian financial regulations,accounting principles and tax requirements • Good knowledge of Ms; Bachelor's degree in Accounting & Finance or related field; degree in Accounting & Finance or related field",,"Senior Accountant (Tax is preferred) Hor Laihol Prampir Meakkakra, Phnom Penh $500+ 📣📢 WE ARE HIRING!! Orchid Paint is proud to manufacture and supply high-quality paint products in accordance with international standards and is part of promoting the national economy as well as creating job opportunities for our Cambodian people. We are looking for passionate and talented individuals to grow with us: - Senior Accountant (1 post ) Tax is preferred 🗓 Working Condition: Monday to Friday (08:00am-17:00pm) (Break time 12:00pm-13:00pm) Saturday (08:00am-12:00pm) Job Requirement • Bachelor's degree in Accounting & Finance or related field. • Good knowledge of accounting systems (QuickBooks, SQL, SAP, etc.) • At least 3-4 years of accounting & tax experience • Strong analytical and knowledge of cambodian financial regulations,accounting principles and tax requirements • Good knowledge of Ms. Office, Excel, Internet and E-mail • Honest and responsive,Ethical behavior,Team player • Well communicate with external and internal • Accepts advise and change for self-improvement. • Strong analytical • Very good command of spoken and written English 🔯 The interesting candidates, please reach out to our team at the contact below: ☑️ Contact// 🎯 #117, St.214, Phum 3 Sangkat Boeung Prolit, Khan 7 Makara, Phnom Penh."
khmer24,ផ្នែករីសិប,Li Ma,"Saensokh, Phnom Penh",$270+,,https://www.khmer24.com/en/jobs-accounting-adid-13715662,,,,,"ផ្នែករីសិប Li Ma Saensokh, Phnom Penh $270+ ចេះវាយប៊ុងនឹងតាមដានកញ្ចប់អីវ៉ាន់"
khmer24,ជំនួយការគណនេយ្យ,Kally Ry,"Por Senchey, Phnom Penh",$400+,,https://www.khmer24.com/en/jobs-accounting-adid-13715422,,excel,,,"ជំនួយការគណនេយ្យ Kally Ry Por Senchey, Phnom Penh $400+ ក្រុមហ៊ុន Haitan HB (Cambodia) Co., Ltd. ជ្រើសរើសបុគ្គលិកពីរនាក់៖ គណនីករ និង ជំនួយការគណនី *ភារកិច្ចការងារ -កត់ត្រាប្រតិបត្តិការគណនេយ្យចូលក្នុងកម្មវិធីគណនេយ្យ (Odoo) -ពិនិត្យឯកសារពាក់ព័ន្ធ និងរៀបចំការទូទាត់ប្រាក់ -បំពេញការងារផ្សេងៗតាមការចាត់តាំងរបស់គ្រប់គ្រង *លក្ខខណ្ឌតម្រូវ -បរិញ្ញាបត្រផ្នែកគណនេយ្យ -និស្សិតទើបបញ្ចប់ការសិក្សា ឬមានបទពិសោធន៍យ៉ាងតិច 1 ឆ្នាំ -មានជំនាញកុំព្យូទ័រ រួមមាន Excel, Word, Internet និង Email ប្រាក់ខែ: 300$-400$ ទីតាំងការងារ: ពោធិ៍ចិនតុង ផ្លូវ 105K"
khmer24,Accounting (AR),RK Construction,"Ta Khmau, Kandal",$300+,,https://www.khmer24.com/en/accounting-ar-adid-13710415,,,2 years experience as an AR; degree in Accounting,,"Accounting (AR) RK Construction Ta Khmau, Kandal $300+ ~Graduated BA degree in Accounting. ~At least 2 years experience as an AR. ~Can use QB system."
